reviews.text,processed_text,reviews.rating
"This wine is amazing! I'm an avid wine drinker (mom life) and I'll continue to buy this for sure. For 5 it's a steal! Keep this around please, it's just another reason to love target!",wine amazing im avid wine drinker mom life ill continue buy sure steal keep around please another reason love target,5.0
Love it that it's not too dry or overly sweet. Also has a good balance of alcohol.,love dry overly sweet also good balance alcohol,5.0
This wine was sooooo good. I usually don't like Cabernet but this special fermented wine is very tasty. It did not stay around too long.LOL.,wine sooooo good usually dont like cabernet special fermented wine very tasty stay around longlol,5.0
Some of the best boxed wine I have ever tasted. Great taste and great value.,best boxed wine ever tasted great taste great value,5.0
Love this Moscato and will be purchasing more on my next Target run. Let it chill in the fridge and enjoy on a hot summer day.,love moscato purchasing next target run let chill fridge enjoy hot summer day,5.0
Had my sissies (sistafriends) over for dinner/planning meeting....and they're still talking about the loving fellowship and the great wine! I hope the store has more than 1 bottle left on its shelves!!!,sissy sistafriends dinnerplanning meetingand theyre still talking loving fellowship great wine hope store bottle left shelf,4.0
Great fruity dry rose!,great fruity dry rose,5.0
"Is this the greatest wine in the world, of course not. It is an eminently drinkable wine,as a matter of fact it is my preferred, and go to, table wine. Wine is a personal thing but for me it is my 1 pick in the under 10 category. It is well balanced, subtle, and very easy to sip. Dry without being overpowering. It is not a big bad Cabernet but it is not that in a good way. Goes great by itself or paired with cheese or a dish sauced with something heavier like a bernaise. I always have a bottle on my shelf.",greatest wine world course eminently drinkable wineas matter fact preferred go table wine wine personal thing pick category well balanced subtle very easy sip dry without overpowering big bad cabernet good way go great paired cheese dish sauced something heavier like bernaise always bottle shelf,5.0
"Delicious white wine! Light, crisp, not too sweet. Almost too good.",delicious white wine light crisp sweet almost good,5.0
Just bad wine. The worst I have ever had. Try Bota Box Sarah is you are looking for a decent boxed wine.,bad wine worst ever try bota box sarah looking decent boxed wine,1.0
"I am no wine expert by any means, but I love a good red for dinner or a cold night. This is the ticket. Rich, dark, fruity! Just lovely. The hubby liked it too!",wine expert mean love good red dinner cold night ticket rich dark fruity lovely hubby liked,5.0
Best wine I ever tasted,best wine ever tasted,5.0
"not fruity, very satisfying. my go to chardonnay! excellent product - would expect to pay 10 / bottle for this quality",fruity very satisfying go chardonnay excellent product would expect pay bottle quality,5.0
"Picked some up on a trip to the beach as they are portable non breakable and priced right! I didn't know what to expect, honestly, my expectations were not too high, being boxed wine and all. I was pleasantly surprised! It is very drinkable delicious! When I got home I returned to Target to get the large wine cube box for at home enjoyment!",picked trip beach portable non breakable priced right didnt know expect honestly expectation high boxed wine pleasantly surprised very drinkable delicious got home returned target get large wine cube box home enjoyment,5.0
"By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.",far best boxed wine ive found comparable mediumpriced bottled sauvignon blanc great buy,5.0
"By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.",far best boxed wine ive found comparable mediumpriced bottled sauvignon blanc great buy,5.0
"Taste was absolutely fine for a 5 Chardonnay. However, BOTH bottles broke while removing the corkscrew. Second break was far enough I didn't want to risk drinking it because of risk of glass shards. I've bought cheaper wines like yellowtail, etc, and NEVER experienced a bottle breaking.",taste absolutely fine chardonnay however bottle broke removing corkscrew second break far enough didnt want risk drinking risk glass shard ive bought cheaper wine like yellowtail etc never experienced bottle breaking,2.0
"I didnt find this to be sweet at all, but everyones taste differs. I usually dont like sweet wines so I gravitate towards Chardonnay and some Sauvignon Blancs and I felt like this one had more of a buttery taste than a sweet citrusy taste like another reviewer stated. For the price, this is definitely a keeper.",didnt find sweet everyones taste differs usually dont like sweet wine gravitate towards chardonnay sauvignon blanc felt like one buttery taste sweet citrusy taste like another reviewer stated price definitely keeper,4.0
My boyfriend brought this home on a whim. We were delighted at how tasty it was. Lasted us a couple weeks - even better!,boyfriend brought home whim delighted tasty lasted u couple week even better,5.0
I love Disaronno. It has a smooth texture and the flavor is lightly sweet. It's decadent on the rocks or with a little cream.,love disaronno smooth texture flavor lightly sweet decadent rock little cream,4.0
I'm surprised how good this is for the price! Tastes more like Sauvignon blanc to me...,im surprised good price taste like sauvignon blanc,5.0
"Nice, light wine - I was not sure what to expect but was surprised how well it tasted for a 5 bottle.",nice light wine sure expect surprised well tasted bottle,5.0
"For as much as we drink white wine, I needed to find a budget bottle. We'd been doing 6-7 dollar bottles, but this beats that. And it's pretty good! You won't impress anyone with this, but for a Monday-Thursday, home and on a budget drinking, this is good.",much drink white wine needed find budget bottle wed dollar bottle beat pretty good wont impress anyone mondaythursday home budget drinking good,4.0
"I served this and all the different varieties at a party. My guests and I loved them all. Since I am not a wine expert, I will simply give you some of the notes on this variety from the Fancy Pants website: ...a robust and rich palate with ripe berries, red fruit, and toasty oak flavors. Cherries and vanilla spice on the mouth lead to a long, lingering finish.",served different variety party guest loved since wine expert simply give note variety fancy pant website robust rich palate ripe berry red fruit toasty oak flavor cherry vanilla spice mouth lead long lingering finish,5.0
"I tried Beringer, who makes this, Pink Moscato, had no trouble opening it up with a Corkscrew, one which I just bought from Target in-store, really like its sweet, fruity flavor pink looking wine. I plan to stock up for the Holidays.",tried beringer make pink moscato trouble opening corkscrew one bought target instore really like sweet fruity flavor pink looking wine plan stock holiday,5.0
"If you like a fruit forward blend of reds with a very smooth finish and jammy taste, you will love this! I think my 9 year search for my favorite red wine has ended!",like fruit forward blend red very smooth finish jammy taste love think year search favorite red wine ended,5.0
"This is a dry Rose, not sweet at all which is perfect for summer!",dry rose sweet perfect summer,5.0
"A wonderful dry wine, and the taste is just divine!",wonderful dry wine taste divine,5.0
"A wonderful dry wine, and the taste is just divine!",wonderful dry wine taste divine,5.0
Been looking for Strongbow in the US for years,looking strongbow u year,5.0
"Refreshing, nice grapefruit flavor. Not for people that dislike seltzer water. It's good out of the can or poured over ice.",refreshing nice grapefruit flavor people dislike seltzer water good poured ice,5.0
"IT IS NOT SWEET,AND I LIKE THAT. IF YOU LIKE THE TASTE OF SPARKLING WATER WITH THE BENEFIT OF 5 ALCOHOL. THIS IS FOR YOU.",sweetand like like taste sparkling water benefit alcohol,5.0
"Best Cabernet I've ever tasted, simple as that.",best cabernet ive ever tasted simple,5.0
so refreshing! LOVEIT!,refreshing loveit,5.0
"This Cayman Jack margarita is really good. I found it in a Southern California Target, but I can't find it in Northern California stores. :(",cayman jack margarita really good found southern california target cant find northern california store,5.0
"I expected this beer to be on the bitter side the first time I tried it, but I still enjoyed its smooth taste. I'd definitely buy it if I get a chance.",expected beer bitter side first time tried still enjoyed smooth taste id definitely buy get chance,4.0
"Looked like a linear regulator from outside and no reviews on it so I ordered this puppy to put it to the test. definitely a switcher and fairly quiet. Well regulated Just like all of RM Italy products, great quality.",looked like linear regulator outside review ordered puppy put test definitely switcher fairly quiet well regulated like rm italy product great quality,5.0
"I love sparkling wine, but I find that most brands are sweet. I'm aging and no longer want the sweet stufd. This is medium body wine with strong bubbles (I love bubbles ) . The alcohol content offers a nice buzz fairly quickly. So ecstatic I found this brand and Target carries it.",love sparkling wine find brand sweet im aging longer want sweet stufd medium body wine strong bubble love bubble alcohol content offer nice buzz fairly quickly ecstatic found brand target carry,5.0
I served this at my baby shower and everyone went crazy over it. It's an inexpensive gem.,served baby shower everyone went crazy inexpensive gem,5.0
This wine is full-bodied and delicious.,wine fullbodied delicious,5.0
Super wine with fruity taste. As a regular wine drinker this is our routine wine of choice. Priced right with good taste.,super wine fruity taste regular wine drinker routine wine choice priced right good taste,4.0
Had a taste of either being old or spoiled. Stick with the bottle.,taste either old spoiled stick bottle,1.0
This is our go-to wine for dinner parties. Better than most of the 10 bottles.,goto wine dinner party better bottle,5.0
"I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).",enjoying jim beam original many year started mixing jbo slice wife watched dallas tried whiskey keep coming back jb enjoy mixed diet pepsi since longer find slice,5.0
It goes great in apple cider,go great apple cider,5.0
"Consistent flavor and quality. JB with Dr. Pepper is surprisingly tasty. I highly recommend it. Love your commercials, too. Mila is doing you proud. Keep up the good work.",consistent flavor quality jb dr pepper surprisingly tasty highly recommend love commercial mila proud keep good work,5.0
A true classic of spirits...,true classic spirit,5.0
"I love this Bourbon as it is always my first choice when its time to unwind. Whether its Neat, On Rocks, With a Coke or Ginger Ale, or my Grandpa's Whiskey Sour, nothing tops Jim Beam!!!! Nothing!!!",love bourbon always first choice time unwind whether neat rock coke ginger ale grandpa whiskey sour nothing top jim beam nothing,5.0
The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.,white label devil cut dashed lemonade lime cordial enjoy jim,5.0
Best Drink you can get,best drink get,5.0
to make manhattens,make manhattens,4.0
Best bourbon I have found...have toured distillery and love the brand..,best bourbon foundhave toured distillery love brand,5.0
Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !,red stag coke zero go drink wish bar restaurant stocked nothing like good bourbon cherry kick,5.0
I like it with dr.peper to sip and relax,like drpeper sip relax,5.0
Better than the other's,better others,5.0
Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.,drank year always smooth tasty running shelf liquor store,5.0
I keep Jim Beam on hand every day of the week.,keep jim beam hand every day week,5.0
"I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT",typically neat ice cube light amber appearance sweet woody mossy nose mild moss white oak mellow wintergreen mint dried faintlycandied fruit flavor draw drinker exploration pinpoint distilling execution jim beam original gradual finish ghost chocolate powder fade highly recommended rjt,5.0
It's does have a great toaste to it the only drink I'll drink.,great toaste drink ill drink,5.0
I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!,neat finger glass two week ago jb black label first time ive always drank jack daniel loved jack,5.0
Best tasteing and defenetly the smoothest around I love it!,best tasteing defenetly smoothest around love,5.0
I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.,always keep bottle jim bean liquor cabinet value price incredible mix great,5.0
This is our favorite mixed drink whiskey and sams has the best price on a handle. We'll be buying this again,favorite mixed drink whiskey sam best price handle well buying,5.0
Best whiskey around and a price that can't be beat!!,best whiskey around price cant beat,5.0
to make manhattens,make manhattens,4.0
Best bourbon I have found...have toured distillery and love the brand..,best bourbon foundhave toured distillery love brand,5.0
"I drink Yellow Tail because you can not buy a perfect wine for the price of this one, I JUST LOVE IT!!!!!!",drink yellow tail buy perfect wine price one love,5.0
I always buy this item at Walmart cause they always have it at a Great Price,always buy item walmart cause always great price,5.0
"As a Scotch drinker, tasting Basil Hayden's for the first time changed my opinion of Bourbons. Now I enjoy both Scotch Bourbon with BH on the top of list for Bourbons!",scotch drinker tasting basil haydens first time changed opinion bourbon enjoy scotch bourbon bh top list bourbon,5.0
Very tasty bourbon!,very tasty bourbon,5.0
Basil Hayden was my gateway to world of Burbon. Ever since I have held its flavor profile as the gold standard when trying others on the market bit I always find myself coming back to my first love.,basil hayden gateway world burbon ever since held flavor profile gold standard trying others market bit always find coming back first love,5.0
Outstanding. Simply an outstanding beverage. Spicy and light with a comforting finish. A staple in my home bar rotation - I never let a bottle get near empty without backfilling it with a fresh one.,outstanding simply outstanding beverage spicy light comforting finish staple home bar rotation never let bottle get near empty without backfilling fresh one,5.0
I love the Cooks champagne however I cannot drink the brut. Would love Extra dry to become available at Sams in Mobile AL.,love cook champagne however drink brut would love extra dry become available sam mobile al,5.0
"My favorite red wine has been Menage a Trois for a long time, and this SILK blend is even better than the regular blend. The price has remained affordable while the quality has remained consistently good for these red blends.",favorite red wine menage trois long time silk blend even better regular blend price remained affordable quality remained consistently good red blend,5.0
My mother turned me on to Barefoot Riesling a few years back and it had been a reflex to always choose it when given the option.,mother turned barefoot riesling year back reflex always choose given option,5.0
Been trying to find a red wine with a smooth finish. This stuff is exactly what I was looking for.,trying find red wine smooth finish stuff exactly looking,5.0
Perfect sipping tequila ... chilled and neat !,perfect sipping tequila chilled neat,5.0
Perfect sipping tequila ... chilled and neat !,perfect sipping tequila chilled neat,5.0
"My buddy ordered some shots of this stuff during a horns game. Frankly when it comes to tequila, I usually brace myself for a rough shot. Maybe I'm drinking the wrong stuff, because this was really easy to put back. No lingering aftertaste. Reasonably priced. Good value tequila if you're looking.",buddy ordered shot stuff horn game frankly come tequila usually brace rough shot maybe im drinking wrong stuff really easy put back lingering aftertaste reasonably priced good value tequila youre looking,5.0
Straight over ice.,straight ice,5.0
My drink of choice when I really want to enjoy my time alone.,drink choice really want enjoy time alone,5.0
"Makes orange jello taste like creamsicle, strawberry taste like strawberries and cream, lemon taste like lemon meringue....I could go on and on....get some today!!",make orange jello taste like creamsicle strawberry taste like strawberry cream lemon taste like lemon meringuei could go onget today,5.0
"Pinnacle has been making our Martini's in my family for many years. My late father discovered it years ago when someone said it's on par with that vodka that flys south for the winter, but at a very reasonable price. Try it, bet you'll love it too. Al",pinnacle making martini family many year late father discovered year ago someone said par vodka fly south winter very reasonable price try bet youll love al,5.0
The whipped creme flavored vodka is fabulous. I keep it in the freezer and have a snifter of it when I want something smooth after dinner or as a night cap. Love it!,whipped creme flavored vodka fabulous keep freezer snifter want something smooth dinner night cap love,5.0
"Everything is great about this product, cheap price, perfect taste. Mixing this flavor with just a soda makes it delicious.",everything great product cheap price perfect taste mixing flavor soda make delicious,5.0
"I love this vodka, I have been drinking vodka for many years, and this is by far one of the best, and my favorite vodka. I drink it regularly, usually with grape juice, but also with orange juice. We use it to make daiquiris, and many other frozen concoctions.",love vodka drinking vodka many year far one best favorite vodka drink regularly usually grape juice also orange juice use make daiquiri many frozen concoction,5.0
Just so so. Seems to be missing something. There are much better margarita mixes out there without all the additives this does not have.,seems missing something much better margarita mix without additive,2.0
Very good summer red. It's become our favorite reasonably priced wine that we enjoy on its own.,very good summer red become favorite reasonably priced wine enjoy,4.0
love all of the flavors. will be buying again. great for summer drinks,love flavor buying great summer drink,5.0
"I bought this pack on a whim and I'm so glad I did. There is a variety of drinks for a great price, even less than the discount liquor store! I'll definitely get this again!",bought pack whim im glad variety drink great price even le discount liquor store ill definitely get,4.0
Vrty good,vrty good,5.0
Jamaican me happy,jamaican happy,4.0
Really enjoy these but SAMs likes to send you on wild goose chases saying available and none to be found not even the empty pallet,really enjoy sam like send wild goose chase saying available none found even empty pallet,5.0
We have been buying Apothic Dark for a couple of years now. It is our Red Blend of Choice. Very Smooth and very reasonably priced.,buying apothic dark couple year red blend choice very smooth very reasonably priced,5.0
Decent table wine for the price. Bend that is on the sweeter side of the spectrum.,decent table wine price bend sweeter side spectrum,3.0
Rum Chata is great when mixed with Fireball or Caramel Vodka,rum chata great mixed fireball caramel vodka,5.0
Love this brand of tequila. I'm a Margarita fan and like to make different kinds,love brand tequila im margarita fan like make different kind,5.0
love it wouldnt mind drinking more,love wouldnt mind drinking,5.0
"On a hot day near the water, this is the cheap-ish beer to have. Bud light with a solid splash of lime, makes it a light and refreshing choice. The Target 12-pack is average-priced and will provide a beverage most will enjoy - particularly the ladies.",hot day near water cheapish beer bud light solid splash lime make light refreshing choice target pack averagepriced provide beverage enjoy particularly lady,4.0
"Love this vodka - it's perfect for screwdrivers! It blends so well with the juice and for an interesting citrus blend, you can use grapefruit juice.",love vodka perfect screwdriver blend well juice interesting citrus blend use grapefruit juice,5.0
We've been drinking this wine for a while. It's one of a group we buy regularly because it's a good wine at an affordable price.,weve drinking wine one group buy regularly good wine affordable price,5.0
"Never disappointed, constant taste.",never disappointed constant taste,4.0
"A delicious blended wine ... give it a try, you might be surprised",delicious blended wine give try might surprised,5.0
This is by far the best reisling I've ever had! LOVE it! Always consistent in flavor and my go to!,far best reisling ive ever love always consistent flavor go,5.0
Great Taste don't forget a slice of orage on the side!,great taste dont forget slice orage side,5.0
Very fruity. Smooth. I like it straight over ice with a bit of Chambord.,very fruity smooth like straight ice bit chambord,5.0
"Tastes absolutley nothing like Chinese restaurant tea... not even similar. It's absolutley horrible, bitter and acrid. With shipping I paid 50 cents per bag... what an amazing rip off. You can go to a local Oriental store and get this kind of stuff for 2 cents per bag... and it would probably taste better.",taste absolutley nothing like chinese restaurant tea even similar absolutley horrible bitter acrid shipping paid cent per bag amazing rip go local oriental store get kind stuff cent per bag would probably taste better,0.0
I don't know why some people wrote bad reviews about this tea. It is just like the tea I've grown up with that I had in Chinese Restaurants. The only complaint I have is that I found the same tea while visiting an Asian store out of town and it was only 2.00 per box while this one was more than double plus a 2.99 shipping fee. I knocked the rating down one star because of the outrageous price this seller charges.,dont know people wrote bad review tea like tea ive grown chinese restaurant complaint found tea visiting asian store town per box one double plus shipping fee knocked rating one star outrageous price seller charge,0.0
"Had a cup of this tea and it was like reliving the past. Always drank this blend at a small Chinese Resturant in Queens, NY. After my first sip I felt like I was back thier enjoying a big pot of tea. Smooth and Relaxing, great blend and will be ordering more soon.",cup tea like reliving past always drank blend small chinese resturant queen ny first sip felt like back thier enjoying big pot tea smooth relaxing great blend ordering soon,0.0
"Yes! this IS just like the Chinese restaurant tea. I used to receive a tea bag or two from my favorite Chinese take out, but nobody does that anymore. I'd save my teabag for the next day to drink with the leftovers, to enhance the leftovers. Now, I can enjoy this tea anytime. This is a refreshing tea that does not make one feel as if we should be adding milk and/or eating some cookies or cakes with it. This tea can stand alone and refresh the inner soul. I drink it with just a pinch of sugar.",yes like chinese restaurant tea used receive tea bag two favorite chinese take nobody anymore id save teabag next day drink leftover enhance leftover enjoy tea anytime refreshing tea make one feel adding milk andor eating cooky cake tea stand alone refresh inner soul drink pinch sugar,0.0
"I gave this to my husband for christmas and he loves it. Says it smells good, it has a nice flavor and a smooth texture, just like the tea you are served in Chinese Restaurants :)",gave husband christmas love say smell good nice flavor smooth texture like tea served chinese restaurant,0.0
"I really like this tea and have bought it many times. The blend called Chinese Restaurant Tea is a blend of green, oolong and jasmine. It doesn't contain ginseng or black tea, which might explain why some people don't like it. (Black tea is more common and smoother tasting than green, which can be grassy or sharp tasting.) It does taste like the teas I have had at better Asian restaurants. (Some of the cheapo ones don't even serve tea any more.)I like the packaging and the name. Kind of quirky, stripped down and charming to my mind. It is hard for me to find this tea in stores. I called the company and they said it was only available in certain regions. (My store had carried it but stopped apparently due to this regional issue -- no longer available in our part of PA.) It was much cheaper in the store than it is on-line but I am just glad to have found it! Thanks for carrying it, Amazon and friends!",really like tea bought many time blend called chinese restaurant tea blend green oolong jasmine doesnt contain ginseng black tea might explain people dont like black tea common smoother tasting green grassy sharp tasting taste like tea better asian restaurant cheapo one dont even serve tea morei like packaging name kind quirky stripped charming mind hard find tea store called company said available certain region store carried stopped apparently due regional issue longer available part pa much cheaper store online glad found thanks carrying amazon friend,0.0
"Really, that's all I have to say. I have ordered this tea several times. Tastes EXACTLY like the Chinese tea that you can find in any major Chinese restaurant.",really thats say ordered tea several time taste exactly like chinese tea find major chinese restaurant,0.0
"I really like the taste of the tea, especially cold. It's a green tea mixed with Ginseng, and they've added licorice root to perhaps sweeten the tea. I don't even add any sugar or honey to it, the taste is that good. My only complaint is that the box claims it is 100 natural, but I wish they would disclose the amount and type of Ginseng. I bought this tea because of the Ginseng, so it would be nice if they disclosed what type of Ginseng and what concentration of it is in the tea itself. Since this is a pretty inexpensive tea, I'm guessing it's a cheap low-quality Ginseng, but like I said, it is tasty. Another nice benefit of this tea is that you can just drop the tea bag into a glass of room temperature water and drink it that way, it's very tasty this way! You don't have to steep or brew it with hot water, so it makes it a nice drinkable tea year round.",really like taste tea especially cold green tea mixed ginseng theyve added licorice root perhaps sweeten tea dont even add sugar honey taste good complaint box claim natural wish would disclose amount type ginseng bought tea ginseng would nice disclosed type ginseng concentration tea since pretty inexpensive tea im guessing cheap lowquality ginseng like said tasty another nice benefit tea drop tea bag glass room temperature water drink way very tasty way dont steep brew hot water make nice drinkable tea year round,0.0
"I like all ingredients in this tea: Green tea, Licorice root and Ginseng. Specially Licorice root can relieve a spasmodic cough and test like Mint",like ingredient tea green tea licorice root ginseng specially licorice root relieve spasmodic cough test like mint,0.0
We like this brand especially when we make stir fry. Can't find it in the grocery stores any longer and was happy I could find it on line.,like brand especially make stir fry cant find grocery store longer happy could find line,0.0
"This is my favorite Riesling. When I spotted it on sale for 9.99 a bottle I was delighted. I usually pay around 12.99 at other locations. Buying two bottles saved me six dollars, Thanks Target.",favorite riesling spotted sale bottle delighted usually pay around location buying two bottle saved six dollar thanks target,5.0
"Refreshing taste of beer especially for summer, citrus combined w/ blueberry.",refreshing taste beer especially summer citrus combined w blueberry,5.0
"Right on Target - Sierra Nevada Torpedo Ale has outstanding character, warm, subtle hints of fruit and a strong but not overly bitter hop aftertaste. It is excellent after a hard day's work to kick back and relax. Target recently began carrying beer and I could not be more enthused! ...",right target sierra nevada torpedo ale outstanding character warm subtle hint fruit strong overly bitter hop aftertaste excellent hard day work kick back relax target recently began carrying beer could enthused,5.0
Best beer for the money. Wish the club in Omaha would carry it again. Any idea if any club carries it,best beer money wish club omaha would carry idea club carry,5.0
Battle ground walmart is to high priced to surrounding stores,battle ground walmart high priced surrounding store,5.0
Any alcohol beverage,alcohol beverage,5.0
"I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).",enjoying jim beam original many year started mixing jbo slice wife watched dallas tried whiskey keep coming back jb enjoy mixed diet pepsi since longer find slice,5.0
My momma LOVES this stuff....!! Its the taste that will rockur socks off!!,momma love stuff taste rockur sock,5.0
